name_group,name,level_upper
BAD,BAD1,245
BOT,BOT1,245
BOT,BOT6,245
BOT,BOT7,245
DKB,DKB2,245
DKB,DKB3,245
DUS,DUS4,245
DUS,DUS5,245
DUS,DUS6,245
GED,GED4,245
GED,GED5,245
GED,GED6,245
GED7,GED7,255
GIN,GIN1,245
GIN,GIN2,245
GIN,GIN3,245
HAB,HAB1,245
HAB,HAB2,245
HAB,HAB3,245
HAB,HAB4,245
HEF,HEF1,245
HEF,HEF8,245
HEF,HEF9,245
HEF3,HEF3,255
HMM,HMM1,245
HMM,HMM3,245
HMM,HMM6,245
KIR,KIR1,245
KIR,KIR2,245
KIR,KIR3,245
KIR,KIR4,245
KIR5,KIR5,265
KNG,KNG1,245
KNG,KNG3,245
KTG,KTG1,245
LBU,LBU1,245
MAN,MAN1,245
MAN,MAN2,245
NKRH,NKRH1,245
NKRH,NKRH2,245
NKRH,NKRH3,245
NKRH,NKRH4,245
NKRH,NKRH5,245
NOR,NOR1,245
NOR,NOR2,245
NOR,NOR3,245
NOR,NOR4,245
NOR,NOR6,245
NOR,NOR7,245
NOR5,NOR5,265
NOR8,NOR8,255
PADH,PADH1,245
PADH,PADH2,245
PADH3,PADH3,295
PFA,PFA1,245
PFA,PFA3,245
PFA,PFA4,245
PFA,PFA6,245
PFA,PFA7,245
RUD,RUD1,245
RUD,RUD5,245
RUD4,RUD4,265
SIG,SIG1,245
SIG,SIG3,245
SIG,SIG4,245
SIG,SIG5,245
SIG,SIG6,245
TAU,TAU1,245
TAU,TAU2,245
TAU,TAU4,245
TAU,TAU5,245
ALB,EDMMALB,315
ALB305,EDMMALB,305
BBG,EDMMBBG,315
EGG,EDMMEGG,315
FUE,EDMMFUE,315
GER,EDMMGER,315
HAL,EDMMHAL,315
HOF,EDMMHOF,315
MEI,EDMMMEI,315
NDG,EDMMNDG,315
RDG,EDMMRDG,315
STA,EDMMSTA,315
TEG,EDMMTEG,315
TRU,EDMMTRU,315
WLD,EDMMWLD,315
ZUG,EDMMZUG,315
ALR,EDWWALR,245
BOR,EDWWBOR1,285
BOR,EDWWBOR3,285
EID,EDWWEID1,245
EID,EDWWEID2,245
EMS,EDWWEMS1,245
EMS,EDWWEMS2,245
FLG,EDWWFLG1,285
FLG,EDWWFLG2,285
FLG,EDWWFLG3,285
HEI,EDWWHEI,245
HRZ,EDWWHRZ1,245
HRZ,EDWWHRZ2,245
HRZ,EDWWHRZ3,245
HRZ,EDWWHRZ5,245
MAR,EDWWMAR1,285
MAR,EDWWMAR2,285
MAR,EDWWMAR3,245
MAR,EDWWMAR4,245
MAR,EDWWMAR5,285
MRZ,EDWWMRZ1,285
MRZ,EDWWMRZ2,245
EBBU EHS,EBBU EHS 195-245,245
EBBU HUL,EBBU HUL,245
EBBU LUS,EBBU LUS,245
LFEE UE,UE,315
LSAS ZE,LSASZE,245
LSAS ZN,LSASZN,245
LSAS ZW,LSASZW,245
